"K","theta1","theta2","r_e","rho_true","n_rep","frac_estimable","frac_gated","frac_capped_of_gated","frac_plim_of_gated","mean_A","mean_B","mean_C","mean_D","med_A","med_C","n_A","n_B","n_C","n_D","pair","locus"
189,0.148522734558146,0.306831393046587,0.02756,-0.8,4000,0.8945,0.3305,0.114220877458396,0.0438729198184569,-1.03853661174936,-0.65144627751808,-0.662542069752712,-0.614154878675435,-0.843386740253466,-0.663478884010042,3578,2703,1322,1264,"P4",3
189,0.148522734558146,0.306831393046587,0.02756,-0.6,4000,0.8945,0.33825,0.0509977827050998,0.0103473762010347,-0.799819501072059,-0.526949646436053,-0.502703297215301,-0.487404462067626,-0.634833093981596,-0.488316951194747,3578,3046,1353,1339,"P4",3
189,0.148522734558146,0.306831393046587,0.02756,-0.4,4000,0.904,0.3265,0.0153139356814701,0.00612557427258806,-0.516158808955515,-0.349117850127253,-0.319009023633245,-0.311029798346268,-0.415188856167667,-0.314229327505186,3616,3262,1306,1298,"P4",3
189,0.148522734558146,0.306831393046587,0.02756,-0.2,4000,0.8865,0.33075,0.00377928949357521,0.000755857898715042,-0.28079461708679,-0.189032744505922,-0.149852783670213,-0.148428732211131,-0.206589703881723,-0.137768570323322,3546,3344,1323,1322,"P4",3
189,0.148522734558146,0.306831393046587,0.02756,0,4000,0.89825,0.34075,0.00513573000733676,0,-0.00681774106109577,-0.00949375175200393,-0.00238927495856908,-0.00216984170350884,-0.0110363280115494,0.0136877423931324,3593,3433,1363,1363,"P4",3
189,0.148522734558146,0.306831393046587,0.02756,0.2,4000,0.896,0.338,0.0103550295857988,0.000739644970414201,0.245700408977693,0.200851957397023,0.178698187943429,0.17692762123612,0.220967608511164,0.176384921841401,3584,3401,1352,1351,"P4",3
189,0.148522734558146,0.306831393046587,0.02756,0.4,4000,0.89125,0.335,0.0223880597014925,0.00447761194029851,0.48518182427631,0.366237122147501,0.349156522019777,0.341945322746235,0.414965394481091,0.338394432785855,3565,3270,1340,1334,"P4",3
189,0.148522734558146,0.306831393046587,0.02756,0.6,4000,0.89875,0.32875,0.0661596958174905,0.0174904942965779,0.780153036564932,0.527844299946836,0.505627435174746,0.484380120858453,0.637685224960079,0.500366620957234,3595,3081,1315,1292,"P4",3
189,0.148522734558146,0.306831393046587,0.02756,0.8,4000,0.90225,0.33225,0.103085026335591,0.036869826937547,1.00056515596655,0.652019899383147,0.661730515686083,0.62319187532776,0.821998134596984,0.652335140292993,3609,2784,1329,1280,"P4",3
261,0.157731177910934,0.240141438965071,0.02756,-0.8,4000,0.94275,0.43,0.115116279069767,0.0540697674418605,-1.04533741174759,-0.667490688752765,-0.681650618135452,-0.626878311648066,-0.849545514312811,-0.663817997474117,3771,2835,1720,1627,"P4",10
261,0.157731177910934,0.240141438965071,0.02756,-0.6,4000,0.94325,0.42875,0.0518950437317784,0.0134110787172012,-0.769203922749005,-0.532512668819692,-0.503539762957522,-0.486565045729291,-0.623456405539821,-0.4810703969953,3773,3246,1715,1692,"P4",10
261,0.157731177910934,0.240141438965071,0.02756,-0.4,4000,0.9395,0.41925,0.02623732856291,0.00596302921884317,-0.501094498030541,-0.375311475107937,-0.342764882825395,-0.333764993043222,-0.429683952208758,-0.329243805415414,3758,3434,1677,1667,"P4",10
261,0.157731177910934,0.240141438965071,0.02756,-0.2,4000,0.94025,0.43225,0.00636205899363794,0.000578368999421631,-0.245627112588056,-0.186077776080571,-0.158383914641459,-0.156998722410927,-0.200469962858904,-0.160409947053191,3761,3563,1729,1728,"P4",10
261,0.157731177910934,0.240141438965071,0.02756,0,4000,0.94325,0.42025,0.00237953599048186,0.00118976799524093,-0.00295123712938475,-0.0020461995725413,0.00189590939069921,0.00175085675132351,-0.00400194747691699,0.000768068636506651,3773,3634,1681,1679,"P4",10
261,0.157731177910934,0.240141438965071,0.02756,0.2,4000,0.9395,0.42975,0.00639906922629436,0.00116346713205352,0.223419470866161,0.185315932763043,0.188258531479495,0.186448134152486,0.203778542815535,0.17812451162657,3758,3597,1719,1717,"P4",10
261,0.157731177910934,0.240141438965071,0.02756,0.4,4000,0.93775,0.42175,0.024896265560166,0.002963841138115,0.515848090203215,0.386873396390197,0.365176179049509,0.359959228521987,0.441161007182222,0.369677444676087,3751,3454,1687,1682,"P4",10
261,0.157731177910934,0.240141438965071,0.02756,0.6,4000,0.93675,0.42075,0.0552584670231729,0.0142602495543672,0.757130617355911,0.550237930338234,0.540012532860932,0.52150459870342,0.640876188100321,0.536710257291947,3747,3227,1683,1659,"P4",10
261,0.157731177910934,0.240141438965071,0.02756,0.8,4000,0.9385,0.42425,0.124926340601061,0.0548025928108427,1.02587432579438,0.688248554449878,0.717147242229942,0.663212288388588,0.84500544769591,0.705439097389423,3754,2904,1697,1604,"P4",10
305,0.0463513332135739,0.33556203509209,0.02756,-0.8,4000,0.6975,0.1395,0.025089605734767,0.00896057347670251,-0.913891878313704,-0.519787311697003,-0.465873570451627,-0.455240202263291,-0.657863055983456,-0.458828940791671,2790,2250,558,553,"P4",190
305,0.0463513332135739,0.33556203509209,0.02756,-0.6,4000,0.698,0.13725,0.0236794171220401,0,-0.673820914879782,-0.408344300173814,-0.349184625895511,-0.34698037320939,-0.49912587666957,-0.348784915108443,2792,2419,549,549,"P4",190
305,0.0463513332135739,0.33556203509209,0.02756,-0.4,4000,0.6935,0.14025,0.0071301247771836,0.0017825311942959,-0.465100085506198,-0.273552407013417,-0.222181513547906,-0.219681577195928,-0.333588146784812,-0.229813985751264,2774,2502,561,560,"P4",190
305,0.0463513332135739,0.33556203509209,0.02756,-0.2,4000,0.714,0.13075,0.00191204588910134,0,-0.218247355523711,-0.141720307724885,-0.107130161586825,-0.106853396775813,-0.160331394501439,-0.0947334818107151,2856,2671,523,523,"P4",190
305,0.0463513332135739,0.33556203509209,0.02756,0,4000,0.704,0.1375,0.00363636363636364,0,0.00650283506804173,0.0147603418574309,0.00604559054239751,0.00627335573033191,0.0155386659515777,0.0133624902105689,2816,2643,550,550,"P4",190
305,0.0463513332135739,0.33556203509209,0.02756,0.2,4000,0.699,0.14125,0.00176991150442478,0,0.199983152459576,0.118254386895287,0.109173714963794,0.108876883359753,0.158343443117703,0.10679194813364,2796,2619,565,565,"P4",190
305,0.0463513332135739,0.33556203509209,0.02756,0.4,4000,0.70075,0.1405,0.00533807829181495,0,0.431646357537187,0.290287241131068,0.266547125687989,0.266306110458316,0.346121851953895,0.263153056098542,2803,2532,562,562,"P4",190
305,0.0463513332135739,0.33556203509209,0.02756,0.6,4000,0.70225,0.13975,0.0268336314847943,0.0035778175313059,0.657409510047178,0.42982401149117,0.367437478977766,0.361103091602452,0.519947048131849,0.35506386500359,2809,2449,559,557,"P4",190
305,0.0463513332135739,0.33556203509209,0.02756,0.8,4000,0.7075,0.14075,0.0319715808170515,0.00532859680284192,0.854143282776445,0.528812751202395,0.485164694946927,0.477439553789444,0.677582288671366,0.492556756582556,2830,2291,563,560,"P4",190
366,0.0500604927778245,0.129924844192019,0.02756,-0.8,4000,0.69225,0.0885,0.0451977401129944,0.019774011299435,-1.00661525203002,-0.444925168570154,-0.410255447552216,-0.384658322715171,-0.724975698296583,-0.408767447903626,2769,2032,354,347,"P4",224
366,0.0500604927778245,0.129924844192019,0.02756,-0.6,4000,0.69025,0.08275,0.0332326283987915,0.00302114803625378,-0.886595758087564,-0.33143420660713,-0.301462936274561,-0.295852787429198,-0.528160588755704,-0.294807523469887,2761,2179,331,330,"P4",224
366,0.0500604927778245,0.129924844192019,0.02756,-0.4,4000,0.6815,0.08975,0.00278551532033426,0,-0.454394573769609,-0.210409320667872,-0.177009580197716,-0.176665080237265,-0.295392156065885,-0.168178372567755,2726,2300,359,359,"P4",224
366,0.0500604927778245,0.129924844192019,0.02756,-0.2,4000,0.70625,0.083,0.00301204819277108,0,-0.297606990722826,-0.11075587870765,-0.106437209230705,-0.106052998047613,-0.179022278070071,-0.122772970592423,2825,2433,332,332,"P4",224
366,0.0500604927778245,0.129924844192019,0.02756,0,4000,0.7,0.08475,0.00884955752212389,0,0.0212278507671023,-0.00119748586623859,0.0153117724994442,0.0151688791802962,0.00532236949872067,0.0292065370099007,2800,2441,339,339,"P4",224
366,0.0500604927778245,0.129924844192019,0.02756,0.2,4000,0.70375,0.086,0.00290697674418605,0,0.284422433132337,0.115402091797134,0.120533171160472,0.120003241743844,0.187767874398906,0.126802202928546,2815,2393,344,344,"P4",224
366,0.0500604927778245,0.129924844192019,0.02756,0.4,4000,0.71525,0.095,0.0105263157894737,0,0.595852056121367,0.245063216471863,0.213668760043562,0.213208732322495,0.340259297117007,0.223105273526119,2861,2412,380,380,"P4",224
366,0.0500604927778245,0.129924844192019,0.02756,0.6,4000,0.701,0.09275,0.0404312668463612,0.00269541778975741,0.799908227449578,0.350298178782134,0.345312754213367,0.338502573756845,0.533766382367576,0.326356432389433,2804,2229,371,370,"P4",224
366,0.0500604927778245,0.129924844192019,0.02756,0.8,4000,0.69375,0.091,0.032967032967033,0.0247252747252747,1.07668705275034,0.450545869053522,0.441953626512037,0.415819657786859,0.709511090976953,0.434903031145885,2775,2026,364,355,"P4",224
319,0.046349152568261,0.129375352532617,0.02756,-0.8,4000,0.655,0.06825,0.0293040293040293,0.010989010989011,-0.998187153923658,-0.395334375110412,-0.386022238661362,-0.371343340061078,-0.663432405342862,-0.394015137343641,2620,1913,273,270,"P4",232
319,0.046349152568261,0.129375352532617,0.02756,-0.6,4000,0.656,0.0675,0.00740740740740741,0.00740740740740741,-0.850478927605475,-0.305457165190319,-0.249639058621083,-0.241240044241593,-0.4724593330474,-0.272310331411535,2624,2055,270,268,"P4",232
319,0.046349152568261,0.129375352532617,0.02756,-0.4,4000,0.66675,0.0615,0.0040650406504065,0,-0.54480724615023,-0.19066692533793,-0.156083428131237,-0.156019587787736,-0.338017262162513,-0.187577807735495,2667,2180,246,246,"P4",232
319,0.046349152568261,0.129375352532617,0.02756,-0.2,4000,0.65475,0.06825,0.0183150183150183,0,-0.318690309741748,-0.0847544321421224,-0.0924049873796462,-0.0912560956519774,-0.155951712922873,-0.0649145616362527,2619,2185,273,273,"P4",232
319,0.046349152568261,0.129375352532617,0.02756,0,4000,0.66,0.06175,0,0,0.00180038986186725,0.000916848676362862,0.00714410785401804,0.00714410785401804,0.00121696702132605,0.00833845626465917,2640,2233,247,247,"P4",232
319,0.046349152568261,0.129375352532617,0.02756,0.2,4000,0.657,0.0625,0.016,0,0.219319856213449,0.108294915009178,0.122501241240459,0.121042380812516,0.161991314700154,0.134363244103727,2628,2238,250,250,"P4",232
319,0.046349152568261,0.129375352532617,0.02756,0.4,4000,0.6555,0.06875,0.0109090909090909,0.00363636363636364,0.541692820854501,0.229524938211103,0.229749739113746,0.223716618039207,0.359917533478514,0.210400805237298,2622,2161,275,274,"P4",232
319,0.046349152568261,0.129375352532617,0.02756,0.6,4000,0.6655,0.073,0.023972602739726,0.00684931506849315,0.689512404923222,0.32103210350932,0.327258107332445,0.317630893301686,0.500877763365738,0.317094658002543,2662,2097,292,290,"P4",232
319,0.046349152568261,0.129375352532617,0.02756,0.8,4000,0.65825,0.06825,0.0402930402930403,0.00732600732600733,1.08294972309861,0.419048103264908,0.429669371057611,0.419309579715703,0.698168518079382,0.436630606978306,2633,1886,273,271,"P4",232
126,0.103779679673862,0.140820059055574,0.02756,-0.8,4000,0.643,0.05275,0.0521327014218009,0.00947867298578199,-1.05856287108394,-0.383960417658759,-0.392840482913661,-0.377872798306517,-0.694440468886731,-0.377931075433288,2572,1802,211,209,"P4",354
126,0.103779679673862,0.140820059055574,0.02756,-0.6,4000,0.6465,0.056,0.0580357142857143,0.00892857142857143,-0.797147418275702,-0.280950426936367,-0.334148852233151,-0.321185463920209,-0.522513730597198,-0.335451429900839,2586,1959,224,222,"P4",354
126,0.103779679673862,0.140820059055574,0.02756,-0.4,4000,0.6405,0.0535,0.014018691588785,0,-0.67068112392811,-0.196325106252561,-0.156385595544715,-0.156094566152571,-0.332376373368925,-0.174837027816264,2562,2014,214,214,"P4",354
126,0.103779679673862,0.140820059055574,0.02756,-0.2,4000,0.656,0.063,0.00793650793650794,0,-0.224308065315954,-0.107957515470498,-0.0653196406668559,-0.0651945957370875,-0.153435373809958,-0.0503173424454543,2624,2172,252,252,"P4",354
126,0.103779679673862,0.140820059055574,0.02756,0,4000,0.647,0.05725,0.00436681222707424,0,-0.0328648114288765,0.00463413655490032,0.0338675661164605,0.0338321161810536,0.00480757193578205,0.0554882813101918,2588,2096,229,229,"P4",354
126,0.103779679673862,0.140820059055574,0.02756,0.2,4000,0.64725,0.05525,0.00904977375565611,0.00452488687782805,0.283464504560887,0.111905309434142,0.0629491159845181,0.0561743495964984,0.205834070687715,0.0470643233855819,2589,2045,221,220,"P4",354
126,0.103779679673862,0.140820059055574,0.02756,0.4,4000,0.65,0.0595,0.0252100840336134,0.00840336134453781,0.513406817088239,0.221375231910567,0.268430919855477,0.25538969738337,0.372779100922865,0.277243265964219,2600,2048,238,236,"P4",354
126,0.103779679673862,0.140820059055574,0.02756,0.6,4000,0.654,0.063,0.0476190476190476,0.0158730158730159,0.858779656505303,0.330388498947705,0.378857996382713,0.35876426013782,0.597338867492272,0.363955387624371,2616,1914,252,248,"P4",354
126,0.103779679673862,0.140820059055574,0.02756,0.8,4000,0.64725,0.061,0.0819672131147541,0.00819672131147541,1.14598727536987,0.416747982999109,0.442869673892063,0.428493838553354,0.756329830861723,0.45654369237894,2589,1756,244,242,"P4",354
195,0.190350005963255,0.586266872354187,0.02756,-0.8,4000,0.955,0.5435,0.111775528978841,0.0225390984360626,-0.970011456354177,-0.728215979791374,-0.716602986809695,-0.690614738083828,-0.816177374457779,-0.711820473113596,3820,3184,2174,2125,"P4",369
195,0.190350005963255,0.586266872354187,0.02756,-0.6,4000,0.95175,0.54425,0.0390445567294442,0.00551217271474506,-0.743833219874611,-0.589475559288598,-0.551775884337951,-0.543559449335382,-0.629999141961214,-0.552809902742266,3807,3461,2177,2165,"P4",369
195,0.190350005963255,0.586266872354187,0.02756,-0.4,4000,0.94725,0.543,0.00782688766114181,0.00184162062615101,-0.490378399352307,-0.4110299569694,-0.363527594129989,-0.360942211789781,-0.421709561030986,-0.369260533888148,3789,3640,2172,2168,"P4",369
