pair,n_loci,r_e,cf_slope_mean,cf_slope_min,cf_slope_max,cf_intercept_mean,rule_0p68_intercept,tierB_slope_D,tierB_intercept_D,v1_slope_C_notrunc,v1_int_C_notrunc,v1_slope_D,v1_int_D,cf_minus_C_slope,cf_minus_C_int,rule_error_int
P4,46,0.02756,0.6201158996711331,0.390288975024004,0.9603893180153719,0.017423222836142015,0.018740800000000002,0.62364073,0.01817326,0.646816010460645,0.0164383049942544,0.625766984226437,0.0163125629270319,-0.026700110789511844,0.000984917841887617,0.0005675400000000018
P1,111,0.21388,0.9020769080487337,0.7174914161298328,0.9999996735680267,0.03600054626312158,0.1454384,0.90783324,0.02834358,0.938634601709209,0.0227444005059307,0.907308643629439,0.0279261036066017,-0.03655769366047523,0.01325614575719088,0.11709481999999999
P2a,105,0.10897,0.9166288855330152,0.7854523862706675,0.9993365110773675,0.016577475091134265,0.0740996,0.92326144,0.01245429,0.956990165535177,0.0097799738505705,0.922939136731017,0.0128071956335267,-0.04036128000216177,0.006797501240563764,0.06164531
P2b,88,0.11322,0.8772761186165862,0.7398645253842709,0.9950094532889189,0.024913135142528763,0.0769896,0.88178469,0.02052968,0.914714148802925,0.0177647317418861,0.880938773285161,0.0203779487641309,-0.037438030186338844,0.0071484034006426625,0.056459920000000004
P3,49,0.23722,0.6191230553023929,0.3944743606725076,0.9235030370019951,0.1476289132779932,0.1613096,0.61190575,0.13887343,0.635328634072541,0.138776088163458,0.614981383282826,0.137868523274241,-0.016205578770148166,0.008852825114535223,0.022436170000000005
P5,50,0.09454,0.577805113486884,0.3223637105936335,0.8470600449124079,0.06964664773709972,0.0642872,0.5791864,0.0651937,0.600895211694523,0.0673583142029868,0.581108595597591,0.0662267752861511,-0.023090098207638965,0.002288333534112924,-0.0009064999999999906
