"pair","n_loci","n_cells","slope_A_estimable_raw","A_lo","A_hi","int_A","slope_B_estimable_trunc","B_lo","B_hi","int_B","slope_C_gated_raw","C_lo","C_hi","int_C","slope_D_gated_trunc","D_lo","D_hi","int_D","gate_effect_at_trunc","gate_effect_no_trunc","trunc_effect_at_gate","trunc_effect_no_gate","mean_frac_capped_of_gated","mean_frac_plim_of_gated","mean_frac_gated","mean_frac_estimable"
"P4",46,414,1.22811793495067,1.21093181960016,1.24530405030118,-0.00883509285976967,0.689177283897356,0.675199933115454,0.703154634679258,0.00703630494678189,0.646816010460645,0.63322433509916,0.660407685822131,0.0164383049942544,0.625766984226437,0.612706498826125,0.63882746962675,0.0163125629270319,-0.0634102996709189,-0.581301924490026,-0.0210490262342082,-0.538940651053315,0.0245314475902711,0.00654385049800381,0.19969806763285,0.756554951690821
"P1",111,999,1.1629872668491,1.15746698964072,1.16850754405747,-0.0330205271472764,0.950814997013168,0.946138026851375,0.95549196717496,0.00438457817416897,0.938634601709209,0.932509483496086,0.944759719922332,0.0227444005059307,0.907308643629439,0.901279201537642,0.913338085721236,0.0279261036066017,-0.0435063533837285,-0.224352665139887,-0.0313259580797697,-0.212172269835928,0.0396757738391707,0.0103296999165897,0.660206456456456,0.957266516516517
"P2a",105,945,1.16290801870231,1.15839238722271,1.16742365018191,-0.0176405108977415,0.964505578726434,0.960838153971469,0.9681730034814,0.00117754009954188,0.956990165535177,0.95336351005981,0.960616821010544,0.00977997385057057,0.922939136731017,0.919057286699981,0.926820986762052,0.0128071956335267,-0.0415664419954176,-0.205917853167134,-0.0340510288041601,-0.198402439975876,0.044138162085169,0.0113640967177832,0.681971693121693,0.97052619047619
"P2b",88,792,1.20263697338346,1.19752006560409,1.20775388116284,-0.0224542133410795,0.934985800739612,0.930178100811226,0.939793500667998,0.00395452852262408,0.914714148802925,0.909833099916902,0.919595197688949,0.0177647317418861,0.880938773285161,0.875949968310567,0.885927578259754,0.0203779487641309,-0.0540470274544514,-0.287922824580538,-0.0337753755177649,-0.267651172643852,0.0409681770813734,0.0112437307876836,0.569981376262626,0.94885321969697
"P3",49,441,1.21011470915947,1.19615386589725,1.2240755524217,-0.0436973582154588,0.686138588402782,0.67256954470713,0.699707632098434,0.0548592034798923,0.635328634072541,0.618649540365648,0.652007727779435,0.138776088163458,0.614981383282826,0.599343751095668,0.630619015469984,0.137868523274241,-0.0711572051199559,-0.574786075086933,-0.0203472507897152,-0.523976120756692,0.0266469552123241,0.00643965049525892,0.188575963718821,0.745210884353741
"P5",50,450,1.21689860333965,1.2029167428056,1.23088046387369,-0.0138704972974005,0.637180026183007,0.621480210464446,0.652879841901568,0.0277742320845132,0.600895211694523,0.585871374756879,0.615919048632166,0.0673583142029868,0.581108595597591,0.566761093617721,0.595456097577461,0.0662267752861511,-0.056071430585416,-0.616003391645123,-0.0197866160969317,-0.579718577156639,0.0240191147045908,0.00631410953061312,0.155707222222222,0.715065
