K_bin,trait,n_loci,observed_mean_theta,null_mean_theta,null_sd_theta,z_above_null,pct_of_loci_below_null_mean
50,ASD,2,0.45999793105149145,0.45827904592359214,0.10265335706695254,0.023680381523725022,0.5
50,ADHD,2,0.6368581798048212,0.45827904592359214,0.10265335706695254,2.4602121188005315,0.5
100,ASD,12,0.33344283477225845,0.3151460121120047,0.06449122829893209,0.98280114367621,0.5833333333333334
100,ADHD,12,0.4596185523951639,0.3151460121120047,0.06449122829893209,7.760242335874898,0.25
150,ASD,15,0.2511765232117422,0.2585139703856308,0.051981237196011006,-0.5466936194879151,0.7333333333333333
150,ADHD,15,0.36708520535550637,0.2585139703856308,0.051981237196011006,8.08935315121297,0.26666666666666666
200,ASD,14,0.2298984999160445,0.21855481203216043,0.03968124244257078,1.0696286444513632,0.5
200,ADHD,14,0.37023389710644006,0.21855481203216043,0.03968124244257078,14.30225300804678,0.14285714285714285
250,ASD,13,0.1925367106301716,0.19898680153087805,0.03835005968243632,-0.6064171390208216,0.8461538461538461
250,ADHD,13,0.28677425120901084,0.19898680153087805,0.03835005968243632,8.253498267740225,0.0
300,ASD,18,0.17014893087946892,0.18170459742841744,0.03290234520932621,-1.4900622054580974,0.7222222222222222
300,ADHD,18,0.3950549342526261,0.18170459742841744,0.03290234520932621,27.51076903066534,0.0
350,ASD,1,0.17531392809102164,0.17006381916610594,0.031175538944668214,0.16840475265668506,0.0
350,ADHD,1,0.30872609505478654,0.17006381916610594,0.031175538944668214,4.447790818782149,0.0
400,ASD,3,0.1451830026936031,0.15988826379458446,0.029133108186787545,-0.874271952109018,1.0
400,ADHD,3,0.3440270594776234,0.15988826379458446,0.029133108186787545,10.947604619551472,0.0
450,ASD,4,0.16690090043148972,0.1520751693670775,0.026775784486950595,1.107398445908293,0.25
450,ADHD,4,0.21242957207261307,0.1520751693670775,0.026775784486950595,4.508133289984449,0.0
500,ASD,1,0.11298514325097253,0.14579616236566115,0.026127066796753907,-1.255824826029271,1.0
500,ADHD,1,0.2780911598065319,0.14579616236566115,0.026127066796753907,5.063522762429168,0.0
