locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
10,1,230,0.0423197,0.00311187,0.0,0.22108942785607288,0.0,0.2506730945919584,True,-0.793346,-1.0,-inf,-1.0,-0.03503,0.96497,
39,1,242,0.0208451,0.00778076,0.0,0.14022444688061073,0.0,0.31114517022097016,True,0.291624,-1.0,-inf,-0.80633,1.0,1.80633,
40,1,303,0.035554,2.46589e-08,0.0,0.5109570823613265,0.0,0.1400663640517628,True,-0.173451,-1.0,-inf,-1.0,0.34497,1.34497,
55,1,305,0.0395446,8.15042e-05,0.0,0.33077701513290086,0.0,0.1772832360133726,True,-0.256543,-1.0,-inf,-1.0,0.34646,1.34646,
56,1,140,0.0272503,0.00911351,0.0,0.15870030117194006,0.0,0.3282976373545507,True,0.267513,-1.0,-inf,-0.85315,1.0,1.8531499999999999,
72,1,190,0.0499892,5.23904e-06,0.0,0.5177017561135213,0.0,0.15741737146390855,True,0.268376,1.0,inf,-0.52159,1.0,1.52159,
84,1,289,0.0107925,4.46016e-10,0.09423865464680284,0.5996802699440373,0.7426565793516667,0.06846613041901072,False,0.593518,0.7069914738240861,0.7069914738240861,0.18867,1.0,0.81133,1.0924699552359514
85,1,298,0.00240087,2.07762e-08,0.2090473164844451,0.5189859465873292,0.9413056757611249,0.02282796477709961,False,-0.140215,-0.173209371807161,-0.173209371807161,-0.79846,0.27667,1.07513,1.1421688274966226
91,1,144,0.0412515,1.74821e-06,0.0,0.6441315832367368,0.0,0.15127787819837302,True,0.685377,1.0,inf,0.12876,1.0,0.87124,
95,1,286,0.0133665,0.0133581,0.06636955659313865,0.06646103675103895,0.414614928174486,0.29617557607387124,False,0.273344,-0.055066941690683296,-0.055066941690683296,-0.72182,1.0,1.7218200000000001,4.152817187699985
108,1,92,0.00707111,0.0047301,0.2391056199741939,0.2999622641486389,0.7716774573288526,0.13564317584757024,False,0.496574,0.46772238935394744,0.46772238935394744,-0.27796,1.0,1.27796,1.6560805137727297
117,1,290,0.0435695,2.66972e-05,0.0,0.3701402942518978,0.0,0.16831588759360003,True,-0.162676,-1.0,-inf,-1.0,0.44864,1.44864,
131,1,159,0.00566356,0.000952657,0.20905030343377512,0.3497553278917698,0.8553052768139578,0.0780674158162396,False,0.512864,0.5083525098820774,0.5083525098820774,-0.13029,1.0,1.13029,1.3215047663570718
