K_bin,trait,n_loci,observed_mean_theta,null_mean_theta,null_sd_theta,z_above_null,pct_of_loci_below_null_mean
50,MDD,9,0.6862136653508443,0.45827904592359214,0.10265335706695254,6.661290753850027,0.3333333333333333
50,BIP,9,1.145846154495221,0.45827904592359214,0.10265335706695254,20.09385162503309,0.0
100,MDD,14,0.5233226837594651,0.3151460121120047,0.06449122829893209,12.078011254696971,0.21428571428571427
100,BIP,14,0.641315707279911,0.3151460121120047,0.06449122829893209,18.92374019626186,0.07142857142857142
150,MDD,50,0.3589830498545032,0.2585139703856308,0.051981237196011006,13.666925072237708,0.34
150,BIP,50,0.42164820831711375,0.2585139703856308,0.051981237196011006,22.191339049910766,0.18
200,MDD,96,0.2786532040348397,0.21855481203216043,0.03968124244257078,14.839292895768336,0.3541666666666667
200,BIP,96,0.351876019915179,0.21855481203216043,0.03968124244257078,32.91922440962367,0.11458333333333333
250,MDD,111,0.25535973529297445,0.19898680153087805,0.03835005968243632,15.486956632350632,0.2882882882882883
250,BIP,111,0.3255781011042374,0.19898680153087805,0.03835005968243632,34.7775756145535,0.12612612612612611
300,MDD,173,0.2442870819574191,0.18170459742841744,0.03290234520932621,25.01779316118377,0.26011560693641617
300,BIP,173,0.2964330400047139,0.18170459742841744,0.03290234520932621,45.8635106560593,0.11560693641618497
350,MDD,116,0.23154554699384963,0.17006381916610594,0.031175538944668214,21.24032162314306,0.25862068965517243
350,BIP,116,0.30343716062036336,0.17006381916610594,0.031175538944668214,46.07698528542915,0.1724137931034483
400,MDD,105,0.21723723755320823,0.15988826379458446,0.029133108186787545,20.171280963746906,0.26666666666666666
400,BIP,105,0.2571161336087578,0.15988826379458446,0.029133108186787545,34.19783391038244,0.13333333333333333
450,MDD,57,0.2057484886394317,0.1520751693670775,0.026775784486950595,15.133998195092687,0.2807017543859649
450,BIP,57,0.2520992536685308,0.1520751693670775,0.026775784486950595,28.20329228387586,0.12280701754385964
500,MDD,44,0.19941096534605063,0.14579616236566115,0.026127066796753907,13.611951626875554,0.29545454545454547
500,BIP,44,0.258870901448887,0.14579616236566115,0.026127066796753907,28.70789022922311,0.045454545454545456
550,MDD,21,0.17183670308092291,0.13994528178343305,0.02427596038766712,6.020147083026213,0.2857142857142857
550,BIP,21,0.259076131687242,0.13994528178343305,0.02427596038766712,22.48834355348401,0.0
600,MDD,12,0.1802961087131368,0.13491239808151237,0.023265046881146043,6.7575099290842395,0.25
600,BIP,12,0.20915236740136867,0.13491239808151237,0.023265046881146043,11.054127633721022,0.25
650,MDD,5,0.15884061370516528,0.13114088960690526,0.02347040498813143,2.63900286650442,0.4
650,BIP,5,0.2490869075339237,0.13114088960690526,0.02347040498813143,11.236930674762041,0.0
