"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
13,173,0.124809900701157,0.288382314000574,21.5921128213001,0.23722,-0.8,2000,464,7,457,0.232,-0.454677535185996,0.0141413858444121
13,173,0.124809900701157,0.288382314000574,21.5921128213001,0.23722,-0.6,2000,503,4,499,0.2515,-0.3138163449499,0.0143734690663908
13,173,0.124809900701157,0.288382314000574,21.5921128213001,0.23722,-0.4,2000,484,0,484,0.242,-0.155954211506198,0.0151376529069493
13,173,0.124809900701157,0.288382314000574,21.5921128213001,0.23722,-0.2,2000,486,2,484,0.243,-0.0459509816260331,0.015279605597468
13,173,0.124809900701157,0.288382314000574,21.5921128213001,0.23722,0,2000,475,0,475,0.2375,0.140423852951579,0.0141977066264039
13,173,0.124809900701157,0.288382314000574,21.5921128213001,0.23722,0.2,2000,511,1,510,0.2555,0.269287791866667,0.0142918691376463
13,173,0.124809900701157,0.288382314000574,21.5921128213001,0.23722,0.4,2000,511,0,511,0.2555,0.416673984794521,0.0126617498325504
13,173,0.124809900701157,0.288382314000574,21.5921128213001,0.23722,0.6,2000,480,6,474,0.24,0.519727899957806,0.0132037790553124
13,173,0.124809900701157,0.288382314000574,21.5921128213001,0.23722,0.8,2000,507,16,491,0.2535,0.676865268961304,0.011446078638518
124,172,0.0714231769541075,0.407352002482589,12.2847864361065,0.23722,-0.8,2000,312,4,308,0.156,-0.359619702974026,0.0190944125640506
124,172,0.0714231769541075,0.407352002482589,12.2847864361065,0.23722,-0.6,2000,281,1,280,0.1405,-0.242867826892857,0.0209240020066377
124,172,0.0714231769541075,0.407352002482589,12.2847864361065,0.23722,-0.4,2000,314,2,312,0.157,-0.133378676474359,0.0189001202361992
124,172,0.0714231769541075,0.407352002482589,12.2847864361065,0.23722,-0.2,2000,340,0,340,0.17,0.0299533656764706,0.0170445203080533
124,172,0.0714231769541075,0.407352002482589,12.2847864361065,0.23722,0,2000,336,0,336,0.168,0.147890204619048,0.016337979941952
124,172,0.0714231769541075,0.407352002482589,12.2847864361065,0.23722,0.2,2000,293,0,293,0.1465,0.234709872866894,0.0179352789125609
