scenario,rho,gate,gate_rate,K,theta1,theta2,r_e,n_attempted,n_reported,n_ci_ok,n_ci_failed,coverage,mean_width,median_width,frac_width_gt_1
ASDlike_x_SCZlike,0.0,pre_gate,0.14376666666666665,300,0.065,0.22,0.0,1500,1074,1074,0,0.9720670391061452,1.6969768104070408,1.8024822270347043,0.9692737430167597
ASDlike_x_SCZlike,0.0,post_gate,0.14376666666666665,300,0.065,0.22,0.0,1500,1498,1498,0,0.9445927903871829,1.4476047235027083,1.4513737706287166,0.9352469959946595
ASDlike_x_SCZlike,0.3,pre_gate,0.1473,300,0.065,0.22,0.0,1500,1028,1028,0,0.9766536964980544,1.6399749539828878,1.6975608275475738,0.9455252918287937
ASDlike_x_SCZlike,0.3,post_gate,0.1473,300,0.065,0.22,0.0,1500,1498,1498,0,0.9532710280373832,1.4030201699766804,1.399244657848938,0.9032042723631508
ASDlike_x_SCZlike,0.6,pre_gate,0.14736666666666667,300,0.065,0.22,0.0,1500,947,947,0,0.9725448785638859,1.5365507561220684,1.5693274954137253,0.8753959873284055
ASDlike_x_SCZlike,0.6,post_gate,0.14736666666666667,300,0.065,0.22,0.0,1500,1490,1490,0,0.9463087248322147,1.2747950165746271,1.2536688229722208,0.7872483221476511
matched_moderate,0.0,pre_gate,0.09713333333333334,300,0.1,0.1,0.0,1500,991,991,0,0.9818365287588294,1.7719277501456003,1.9932720912145423,0.9818365287588294
matched_moderate,0.0,post_gate,0.09713333333333334,300,0.1,0.1,0.0,1500,1500,1500,0,0.9546666666666667,1.5075343424090515,1.5139493389307193,0.9533333333333334
matched_moderate,0.3,pre_gate,0.10266666666666667,300,0.1,0.1,0.0,1500,958,958,0,0.975991649269311,1.7386986010304617,1.957660275225631,0.9561586638830898
matched_moderate,0.3,post_gate,0.10266666666666667,300,0.1,0.1,0.0,1500,1492,1492,0,0.9457104557640751,1.4599204023847185,1.472815392373745,0.9095174262734584
matched_moderate,0.6,pre_gate,0.09783333333333333,300,0.1,0.1,0.0,1500,855,855,0,0.9766081871345029,1.62175467222555,1.7373992597464212,0.927485380116959
matched_moderate,0.6,post_gate,0.09783333333333333,300,0.1,0.1,0.0,1500,1484,1484,0,0.944743935309973,1.350486267453374,1.3360636410751914,0.8362533692722371
with_overlap_r10,0.0,pre_gate,0.14726666666666666,300,0.065,0.22,0.1,1500,1050,1050,0,0.9723809523809523,1.684036461914833,1.7771094965734737,0.9695238095238096
with_overlap_r10,0.0,post_gate,0.14726666666666666,300,0.065,0.22,0.1,1500,1499,1499,0,0.9439626417611742,1.4269546416120662,1.4277042208789696,0.9299533022014677
with_overlap_r10,0.3,pre_gate,0.1483,300,0.065,0.22,0.1,1500,1035,1035,0,0.9748792270531401,1.656486846927444,1.7649512314974156,0.936231884057971
with_overlap_r10,0.3,post_gate,0.1483,300,0.065,0.22,0.1,1500,1498,1498,0,0.9526034712950601,1.3721973436723913,1.3736991066315556,0.8598130841121495
with_overlap_r10,0.6,pre_gate,0.1503,300,0.065,0.22,0.1,1500,967,967,0,0.9648397104446742,1.515143139492074,1.5430202456916828,0.859358841778697
with_overlap_r10,0.6,post_gate,0.1503,300,0.065,0.22,0.1,1500,1484,1484,0,0.9582210242587601,1.2303390721440561,1.1967868600135332,0.7048517520215634
