rho,n_gate_pass,gate_rate,n_nonfinite,n_paramlim_dropped,paramlim_drop_frac,n_reported,mean_rho_hat,se_mean,median_rho_hat,mean_rho_hat_ungated,mean_h2_1_gated,mean_h2_2_gated,scenario
0.0,29589,0.147945,0,19,0.0006421305214775762,29570,0.0007562930984795594,0.0019361071401997995,0.0006327664615355317,0.000307345499367212,0.1918840629225663,0.2545487392830439,S1_asdlike_x_sczlike
0.1,29300,0.1465,0,21,0.0007167235494880546,29279,0.06218778119382984,0.0019428529929617039,0.06293120736345338,0.07222368541760503,0.1915107894983931,0.25430791151221455,S1_asdlike_x_sczlike
0.2,29350,0.14675,0,22,0.0007495741056218058,29328,0.12553019683262678,0.001928451529882271,0.12730065837635574,0.15195542470346074,0.19187555243459944,0.25472428475523545,S1_asdlike_x_sczlike
0.3,29525,0.147625,0,47,0.0015918712955122778,29478,0.1889178573576874,0.0019255793494813748,0.18750374801880454,0.22353742868940396,0.1919710603067025,0.25462336617244663,S1_asdlike_x_sczlike
0.4,29531,0.147655,0,71,0.0024042531576986895,29460,0.25110587949794005,0.001898975230189057,0.25064969669877285,0.29821639603840244,0.19175572071217953,0.2552179004719824,S1_asdlike_x_sczlike
0.5,29565,0.147825,0,137,0.004633857601894132,29428,0.3104054154290189,0.0018752247782369994,0.31050193080662297,0.36495870302544026,0.1923953577026382,0.25435965745566413,S1_asdlike_x_sczlike
0.6,29510,0.14755,0,180,0.006099627245001694,29330,0.37440753738131044,0.0018635096048186853,0.373698828046938,0.4322274590428835,0.19198893439801745,0.2549869183855836,S1_asdlike_x_sczlike
0.7,29491,0.147455,0,341,0.011562849682954122,29150,0.43150499807760107,0.0018323685129178731,0.436966425834029,0.4943896597739363,0.192041336756426,0.2552488440395968,S1_asdlike_x_sczlike
0.8,29353,0.146765,0,490,0.016693353319933227,28863,0.48629859282967114,0.0017987207746005382,0.49274486451090826,0.5541844159967548,0.19195954152484013,0.2553546729080386,S1_asdlike_x_sczlike
0.9,29441,0.147205,0,792,0.02690126014741347,28649,0.5441744129587589,0.0017496498354529159,0.5550446843310879,0.6101026515559175,0.1921495883830998,0.25512356159510535,S1_asdlike_x_sczlike
0.0,19665,0.098325,0,11,0.0005593694380879735,19654,-0.0016072965235876774,0.002520233331371443,-0.001991585573453166,0.0028518167435521544,0.20130955087073155,0.2016273263482012,S2_matched_moderate
0.1,19629,0.098145,0,14,0.0007132304243721025,19615,0.05855746685256009,0.002520898004177993,0.05617198704228784,0.06721392646361529,0.20219412942947138,0.20136993339692488,S2_matched_moderate
0.2,19881,0.099405,0,32,0.0016095769830491425,19849,0.11989946034219665,0.0024895763560323467,0.11942217062326242,0.13438872747146094,0.20142628592311934,0.20161036467277163,S2_matched_moderate
0.3,19636,0.09818,0,41,0.0020880016296598086,19595,0.17830749378537214,0.002505425256499484,0.17860683475185588,0.20013313005526354,0.20120089298874255,0.20201148826718543,S2_matched_moderate
0.4,19983,0.099915,0,73,0.003653105139368463,19910,0.23669307105832707,0.002460452413238667,0.24015982378914397,0.26451913909327124,0.2019894626410817,0.20152183284036312,S2_matched_moderate
0.5,19714,0.09857,0,95,0.004818910418991579,19619,0.2917215961941389,0.002449920795018347,0.294818153666801,0.33012736326512454,0.2016305336988167,0.20236170221802094,S2_matched_moderate
0.6,19631,0.098155,0,154,0.007844735367530945,19477,0.35231037098660717,0.002426413778961837,0.35966306792745956,0.3922924284064198,0.20164113633164182,0.20225118117151475,S2_matched_moderate
0.7,19484,0.09742,0,244,0.012523095873537261,19240,0.41071432381215817,0.002407677995472548,0.41810357752949234,0.44961132369871504,0.20159429827147365,0.20115891492601204,S2_matched_moderate
0.8,19925,0.099625,0,382,0.01917189460476788,19543,0.4591933484467626,0.0023107606752721804,0.4690590056818935,0.5050629007196447,0.20180855916698642,0.20168726849086974,S2_matched_moderate
0.9,19883,0.099415,0,493,0.02479505104863451,19390,0.5099217672183707,0.0022884925048372072,0.5253752504982008,0.5554029376230499,0.201285580694329,0.20193360862536686,S2_matched_moderate
0.0,29397,0.146985,0,19,0.000646324454876348,29378,0.03399882277634916,0.0019328356404531598,0.03958967227056142,0.011727244469269659,0.1918005347292702,0.25593569609672595,S3_overlap_re05
0.1,28953,0.144765,0,15,0.0005180810278727593,28938,0.09439936504301509,0.00192595444718732,0.09393359228142592,0.08904032376077323,0.19173040847907752,0.2547946281269855,S3_overlap_re05
0.2,29342,0.14671,0,32,0.0010905868720605275,29310,0.16046345288167685,0.0019046803298519608,0.16335531614244742,0.1617892595418658,0.19240661563552044,0.25478863636048277,S3_overlap_re05
0.3,29934,0.14967,0,40,0.0013362731342286363,29894,0.22341406060253924,0.0018921141290249546,0.2247558502729269,0.23597694130413965,0.19189601168945464,0.2548051812620975,S3_overlap_re05
0.4,29673,0.148365,0,76,0.002561250968894281,29597,0.27863764215778203,0.0018762844984804455,0.28128943148575924,0.3065486608611858,0.19248880901081916,0.25585352545770734,S3_overlap_re05
0.5,29278,0.14639,0,136,0.004645126033198989,29142,0.3462735500106987,0.0018676489367887416,0.3477858135987962,0.37857128569622545,0.19173038716352622,0.25484032342140184,S3_overlap_re05
0.6,29802,0.14901,0,233,0.007818267230387222,29569,0.40722201247564743,0.0018179436697008096,0.4090229165657129,0.4430812920608055,0.19201175975686455,0.2546786717272609,S3_overlap_re05
0.7,29648,0.14824,0,344,0.011602806260118727,29304,0.4645214321797917,0.0017770683503091004,0.4706260207007615,0.5083847989653948,0.19161429523950324,0.2556563428299853,S3_overlap_re05
0.8,29766,0.14883,0,576,0.019350937311026002,29190,0.5194362443390773,0.001740785129342783,0.5289396230514272,0.5704935918719584,0.19204697858437472,0.25529023236344534,S3_overlap_re05
0.9,29606,0.14803,0,851,0.028744173478348983,28755,0.57705661071078,0.0016969053418244395,0.5926995403835142,0.6241131503612486,0.19155728006119369,0.2568030082564256,S3_overlap_re05
0.0,29731,0.148655,0,10,0.0003363492650768558,29721,0.06657234569282001,0.0019145502216783052,0.07141175926426217,0.017910171225195656,0.19181319848158115,0.25421571886378225,S4_overlap_re10
0.1,29538,0.14769,0,17,0.0005755298259868644,29521,0.12595210088866068,0.0019042181946893463,0.1320548278814381,0.09475379568797457,0.19154248362927837,0.25578027911947077,S4_overlap_re10
0.2,29629,0.148145,0,36,0.0012150258192986602,29593,0.1890114699711173,0.0018759844109722686,0.19039880212400467,0.1694292086395553,0.19239890230699339,0.25612667488881147,S4_overlap_re10
0.3,29743,0.148715,0,41,0.001378475607706015,29702,0.2560338332465214,0.0018567136425079267,0.2594641559717288,0.24651731306011987,0.1919208670238411,0.2561902782490665,S4_overlap_re10
0.4,29687,0.148435,0,88,0.0029642604507023277,29599,0.3154706364142221,0.001823045614690605,0.31999069885500236,0.319195608301239,0.1919667163447503,0.2567265088118635,S4_overlap_re10
0.5,29836,0.14918,0,136,0.00455825177637753,29700,0.3778408214921579,0.0018047684206771307,0.3839148769111771,0.39024843833262507,0.19213832948011778,0.255521272383952,S4_overlap_re10
