scenario,rho,v2,sim_with_paramlim,sim_no_paramlim,drop_frac,err_vs_LAVA,err_vs_gateonly,paramlim_effect
H1_lowpower_both,-0.6,-0.18114155521101633,-0.1862841093055578,-0.1883963297868902,0.0030668966839179604,-0.005142554094541479,-0.007254774575873868,0.0021122204813323886
H1_lowpower_both,-0.3,-0.09057077760550816,-0.09771706962444347,-0.09866584735465797,0.0018889308651303363,-0.00714629201893531,-0.008095069749149808,0.0009487777302144978
H1_lowpower_both,0.0,0.0,0.003961508659802626,0.0041458950507340464,0.0013275175421960932,0.003961508659802626,0.0041458950507340464,-0.00018438639093142084
H1_lowpower_both,0.2,0.06038051840367211,0.06649126899884512,0.06686580256252893,0.0028053113895642415,0.006110750595173013,0.0064852841588568175,-0.0003745335636838043
H1_lowpower_both,0.45,0.13585616640826226,0.13632133517138753,0.1376100474138239,0.0027793218454697055,0.0004651687631252732,0.0017538810055616472,-0.001288712242436374
H1_lowpower_both,0.7,0.21133181441285237,0.2035313185474579,0.2074802479368108,0.004958047292143402,-0.007800495865394469,-0.003851566476041568,-0.003948929389352901
H1_lowpower_both,0.9,0.2717123328165245,0.2719440445239014,0.2769165382437154,0.006829823562891292,0.0002317117073769026,0.005204205427190911,-0.0049724937198140085
H2_asym_extreme,-0.6,-0.29073190823201883,-0.2980057002138001,-0.29860948637260265,0.0008601012272982897,-0.007273791981781241,-0.007877578140583819,0.0006037861588025772
H2_asym_extreme,-0.3,-0.14536595411600942,-0.15075226219799914,-0.15086370471985494,0.00013122498523718916,-0.005386308081989727,-0.005497750603845525,0.00011144252185579795
H2_asym_extreme,0.0,0.0,0.0014160508747919915,0.00131690731487435,9.90033661144479e-05,0.0014160508747919915,0.00131690731487435,9.914355991764144e-05
H2_asym_extreme,0.2,0.09691063607733963,0.09869820766079063,0.09887675986979236,0.00019810479743784462,0.0017875715834509975,0.0019661237924527286,-0.00017855220900173108
H2_asym_extreme,0.45,0.21804893117401414,0.22404352148311624,0.22422365929194515,0.00023214937153848706,0.005994590309102099,0.0061747281179310165,-0.0001801378088289174
H2_asym_extreme,0.7,0.3391872262706886,0.3465172723240966,0.3475731883556258,0.001615828524319868,0.007330046053408035,0.008385962084937193,-0.0010559160315291582
H2_asym_extreme,0.9,0.4360978623480283,0.44586432137050563,0.4476761285471544,0.0032696093150502118,0.009766459022477358,0.011578266199126108,-0.0018118071766487498
