"locus","K","outcome","dropped_pheno","theta1","theta2","lambda_min"
1921,166,"usable",NA,0.108674490417491,0.327781909696835,18.0399654093035
1925,135,"channel2_phenotype_dropped","ASD",NA,NA,NA
1962,264,"channel2_phenotype_dropped","ASD",NA,NA,NA
2073,344,"usable",NA,0.0463647434479125,0.167186138195807,15.9494717460819
2081,404,"usable",NA,0.0463603061561819,0.29927903367132,18.7295636870975
2085,170,"channel2_phenotype_dropped","ASD",NA,NA,NA
2110,337,"channel2_phenotype_dropped","ASD",NA,NA,NA
2113,207,"usable",NA,0.0914717357645482,0.380967499806819,18.9346493032615
2117,389,"usable",NA,0.143272993662809,0.443630896224679,55.7331945348327
2138,463,"channel2_phenotype_dropped","ASD",NA,NA,NA
2162,521,"channel2_phenotype_dropped","ASD",NA,NA,NA
2173,326,"channel2_phenotype_dropped","ASD",NA,NA,NA
2208,158,"channel2_phenotype_dropped","ASD",NA,NA,NA
2222,436,"usable",NA,0.0981310254022627,0.176914966340279,42.7851270753865
2232,472,"channel2_phenotype_dropped","ASD",NA,NA,NA
2290,209,"channel2_phenotype_dropped","ASD",NA,NA,NA
2328,162,"usable",NA,0.0463541927234685,0.29882893745814,7.5093792212019
2367,356,"channel2_phenotype_dropped","ASD",NA,NA,NA
2370,369,"usable",NA,0.070576716996633,0.12985508770955,26.0428085717576
2371,344,"channel2_phenotype_dropped","ASD",NA,NA,NA
2400,308,"usable",NA,0.0463765865879553,0.216887911260009,14.2839886690902
2407,285,"channel2_phenotype_dropped","ASD",NA,NA,NA
2411,222,"usable",NA,0.0463538174187949,0.253636351931727,10.2905474669725
2446,225,"usable",NA,0.0658050757480766,0.302318577758738,14.8061420433172
