locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
39,1,231,0.0201505,0.0118459,0.0,0.09122200878000972,0.0,0.1444596898143201,True,-0.0380262,-1.0,-inf,-1.0,0.85894,1.85894,
84,1,271,9.3338e-11,0.00751517,0.6509595200805934,0.13634408396559905,0.8343651167662592,0.019313187118995195,False,0.276743,0.30853376742153726,0.30853376742153726,-0.17646,0.84049,1.01695,1.218830916543327
85,1,269,4.77448e-05,0.00278621,0.36918058045990715,0.21128745582500488,0.930134659310421,0.01352615902140815,False,0.562104,0.5897832485731624,0.5897832485731624,0.0821,1.0,0.9178999999999999,0.9868463569355735
95,1,274,0.0115338,0.00960839,0.08809569304615023,0.11020477883888827,0.5557211092584602,0.09173203006777438,False,0.621306,0.9529491702031534,0.9529491702031534,-0.07084,1.0,1.07084,1.926937778967765
117,1,266,0.00214755,0.0437515,0.22748388226159014,0.0,0.0,0.09396153351296792,True,0.0374493,-1.0,-inf,-1.0,0.94984,1.94984,
141,1,108,0.00183851,0.0344689,0.3759029198138299,0.0,0.0,0.09167381032005911,True,0.458477,1.0,inf,-0.36573,1.0,1.36573,
175,1,293,1.41762e-09,0.0209366,0.5741834959504328,0.0,0.0,0.05308484310494456,True,0.6772,1.0,inf,0.225,1.0,0.775,
176,1,278,0.00987059,0.039166,0.10643762092868836,0.0,0.0,0.13427067723831895,True,0.0205952,-1.0,-inf,-1.0,1.0,2.0,
259,2,122,0.00447585,0.0320097,0.2665391187733967,0.0,0.0,0.10750004465906594,True,0.0153212,-1.0,-inf,-1.0,0.96374,1.96374,
300,2,261,0.0112827,0.041456,0.09292529178082029,0.0,0.0,0.14146344633862867,True,0.516668,1.0,inf,-0.32011,1.0,1.3201100000000001,
313,2,245,0.0293516,0.0033944,0.0,0.2084113281026704,0.0,0.10151868201397904,True,0.350357,1.0,inf,-0.5157,1.0,1.5157,
369,2,159,1.2289e-11,0.0153206,0.9416830266663964,0.057429338960226076,0.5558805622229337,0.036624216036197386,False,-0.0521909,-0.15977373931016933,-0.15977373931016933,-0.68162,0.4509,1.13252,2.03734412923366
383,2,498,2.00949e-07,0.0240239,0.35961353394857937,0.0,0.0,0.05906041188657328,True,-0.187131,-1.0,-inf,-1.0,0.33965,1.33965,
392,2,196,0.00104755,0.0271424,0.3082396510423038,0.0,0.0,0.08546549421483167,True,-0.223808,-1.0,-inf,-1.0,0.48871,1.48871,
418,2,293,0.00845253,0.0126585,0.12022375926255759,0.0733209758808006,0.5441841730885782,0.09163296248371647,False,0.355742,0.48533024401886427,0.48533024401886427,-0.44011,1.0,1.44011,2.646365093322164
687,4,146,0.000403401,0.00603903,0.4157737004406774,0.21053140817901286,0.8597366641507614,0.028228714274017207,False,0.516316,0.56771719304086,0.56771719304086,-0.04212,1.0,1.04212,1.2121386041264097
693,4,104,0.000192228,0.00361602,0.5468715962086879,0.3144377286196576,0.9160165579692481,0.018748563064353463,False,0.668454,0.7092725904169278,0.7092725904169278,0.13409,1.0,0.86591,0.9452995062880399
