locus,chr,K_int,theta_ASD,theta_SCZ,p_ASD,p_SCZ,rho_hat,rho_lower,rho_upper,null_p_positive_rho0,null_p_determinate_rho0
1985,14,363,1e-06,0.15987587118067184,0.041984,0.00419138,-0.134016,-1.0,0.78665,,0.06
2007,14,278,1e-06,0.1592471772229415,0.0237502,0.00567124,0.450706,-0.30645,1.0,,0.04
2020,14,477,0.13555501042833154,1e-06,0.00461545,0.0221769,-0.00330808,-0.96616,0.90874,,0.06
2117,16,389,1e-06,0.44744296018291,0.0265815,2.1609e-08,0.517113,0.02617,1.0,,0.044
2125,16,337,1e-06,0.19085896917685824,0.049955,0.00269308,0.179135,-0.76564,1.0,,0.064
2142,16,361,1e-06,0.2891363251226355,0.049492,0.000138122,-0.19866,-1.0,0.51315,,0.052
2149,16,160,1e-06,0.4248224095910005,0.0370506,0.000221204,0.343082,-0.39521,1.0,,0.056
2204,17,289,0.04660446177011434,1e-06,0.0151654,0.025758,0.301587,-0.62895,1.0,,0.072
2207,17,87,0.5542894010539696,0.9013641951404582,0.000392858,8.06045e-07,-0.175272,-0.70598,0.30564,,0.084
2266,18,276,1e-06,0.44712641403222014,0.038369,1.75751e-06,0.277169,-0.32958,1.0,,0.064
2282,18,267,0.21998958394644907,0.3368418296668682,0.00243514,0.000145733,0.00151864,-0.61987,0.59462,,0.048
2292,18,206,0.17711920091954114,1e-06,0.00609286,0.0346978,-0.415151,-1.0,0.39144,,0.056
2307,19,216,1e-06,0.1862308084034308,0.0228438,0.00528579,-0.0440281,-1.0,0.8705,,0.06
2372,20,306,0.14016351947600494,1e-06,0.00659108,0.0311564,0.110875,-0.85871,1.0,,0.044
2384,20,257,0.023015560055101563,0.2882839935257899,0.0174117,0.000657972,0.279271,-0.4112,1.0,,0.032
2401,20,347,0.038672838433203745,0.1872703989357695,0.0156321,0.00273959,-0.361843,-1.0,0.29616,,0.04
2413,20,496,1e-06,0.15092300225958172,0.0229806,0.00320946,-0.323986,-1.0,0.37544,,0.08
2485,22,199,0.025902640334385676,1.1234432272432815,0.017362,3.83864e-18,0.418167,-0.01826,1.0,,0.08
