scenario,K,theta1,theta2,r_e,sim_slope,cf_slope,reldiff,sim_intercept,cf_intercept
S1_asdlike_x_sczlike,300,0.065,0.22,0.0,0.6063746268133469,0.6133414549890299,0.011489313483144102,0.004660314399686392,0.0
S2_matched_moderate,300,0.1,0.1,0.0,0.5720802556925071,0.5786888683733934,0.011551897858957804,0.004135045155662398,0.0
S3_overlap_re05,300,0.065,0.22,0.05,0.6061895700875835,0.6133414549890299,0.011798099562176815,0.037757012778323155,0.033873498560483196
S4_overlap_re10,300,0.065,0.22,0.1,0.600984913763057,0.6133414549890299,0.020560484869083795,0.07091775907038789,0.06774699712096639
S5_smallK,100,0.065,0.22,0.0,0.45070153815438113,0.45545885254345775,0.010555354234107516,0.0015772546336280506,0.0
S6_largeK,500,0.065,0.22,0.0,0.6879951213173342,0.6897162931359726,0.0025017209647399796,0.005188662947110376,0.0
