"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
32,215,0.0804995927073295,0.0463490849412092,9.96505326235997,0.09454,-0.8,2000,62,0,62,0.031,-0.192262195322581,0.0514740894520344
32,215,0.0804995927073295,0.0463490849412092,9.96505326235997,0.09454,-0.6,2000,57,0,57,0.0285,-0.142848149122807,0.0502230010974327
32,215,0.0804995927073295,0.0463490849412092,9.96505326235997,0.09454,-0.4,2000,47,0,47,0.0235,-0.0311405557446809,0.0482604074682113
32,215,0.0804995927073295,0.0463490849412092,9.96505326235997,0.09454,-0.2,2000,54,0,54,0.027,0.0398817783333333,0.0534393780741013
32,215,0.0804995927073295,0.0463490849412092,9.96505326235997,0.09454,0,2000,47,1,46,0.0235,0.166270019565217,0.0605318010171294
32,215,0.0804995927073295,0.0463490849412092,9.96505326235997,0.09454,0.2,2000,57,0,57,0.0285,0.106502309824561,0.0505248534814753
32,215,0.0804995927073295,0.0463490849412092,9.96505326235997,0.09454,0.4,2000,62,0,62,0.031,0.153248874193548,0.0506065718500501
32,215,0.0804995927073295,0.0463490849412092,9.96505326235997,0.09454,0.6,2000,67,1,66,0.0335,0.451124835151515,0.0448607670669584
32,215,0.0804995927073295,0.0463490849412092,9.96505326235997,0.09454,0.8,2000,62,3,59,0.031,0.473057757627119,0.0490598252898623
39,231,0.199925802284724,0.22226167735187,46.1828603277713,0.09454,-0.8,2000,851,64,787,0.4255,-0.62744864884371,0.00967293760242598
39,231,0.199925802284724,0.22226167735187,46.1828603277713,0.09454,-0.6,2000,936,24,912,0.468,-0.490854415098684,0.00983175780223116
39,231,0.199925802284724,0.22226167735187,46.1828603277713,0.09454,-0.4,2000,883,3,880,0.4415,-0.318281893357955,0.0110500311863814
39,231,0.199925802284724,0.22226167735187,46.1828603277713,0.09454,-0.2,2000,866,1,865,0.433,-0.160755023991908,0.011248311786585
39,231,0.199925802284724,0.22226167735187,46.1828603277713,0.09454,0,2000,923,1,922,0.4615,0.0413927660010846,0.0107174160455831
39,231,0.199925802284724,0.22226167735187,46.1828603277713,0.09454,0.2,2000,908,0,908,0.454,0.213563002744493,0.010600253881861
39,231,0.199925802284724,0.22226167735187,46.1828603277713,0.09454,0.4,2000,924,2,922,0.462,0.377433693173536,0.0100207020725458
39,231,0.199925802284724,0.22226167735187,46.1828603277713,0.09454,0.6,2000,907,15,892,0.4535,0.556243227006726,0.00942127881261643
39,231,0.199925802284724,0.22226167735187,46.1828603277713,0.09454,0.8,2000,898,44,854,0.449,0.676782933723653,0.00904802922721694
42,159,0.230604896457992,0.0463518334114137,7.36994151241479,0.09454,-0.8,2000,123,1,122,0.0615,-0.269282445491803,0.0335980666457927
42,159,0.230604896457992,0.0463518334114137,7.36994151241479,0.09454,-0.6,2000,145,0,145,0.0725,-0.237001751103448,0.0294941954386559
