"locus","K","lambda_min","n_cells","slope","intercept"
32,215,9.96505326235997,9,0.406549846332454,0.113759408278358
39,231,46.1828603277713,9,0.843664038032089,0.0297861823730263
42,159,7.36994151241479,9,0.486899600761648,0.0784348126652683
73,312,19.2942427382577,9,0.609818888780029,0.0634765063334351
112,184,9.1107450521223,9,0.328369362832711,0.126728598091455
116,195,31.5698743743153,9,0.69135983758376,0.0599295228569665
257,256,11.8665127078485,9,0.53798746539066,0.0534665935620373
308,207,9.59447315091147,9,0.361813193036146,0.139423882735074
332,150,24.0888220125539,9,0.792701534213608,0.030689992755519
375,122,22.1216120436702,9,0.78919838893523,0.0403446210430621
402,234,30.2981301643513,9,0.794709578978515,0.0242478287438327
436,285,25.9103900334372,9,0.725035211259395,0.0345551793232579
444,226,14.6666855744377,9,0.644842609757321,0.043298179944138
450,381,17.6648686545283,9,0.58349982963634,0.0285737548199871
538,245,17.0511259216676,9,0.651645292553992,0.0435031768454181
647,199,18.4990739012643,9,0.604738523996597,0.0657044684155473
648,252,11.6828080288695,9,0.511939441986072,0.0845232441900107
658,304,19.8096252078631,9,0.537026088040932,0.0836892115255511
819,173,27.8184810271531,9,0.834102857667321,0.0186269528717094
827,125,10.5625925027975,9,0.516500917321456,0.0838476154250358
843,238,11.0331021217001,9,0.549091329741054,0.0309739216718568
895,210,15.7101129177255,9,0.403927871584077,0.136402324900517
910,177,10.2956469862999,9,0.546637002553849,0.0696910507780652
1008,154,7.13788938495479,9,0.348415091857018,0.124022830235625
1096,295,15.8855335754319,9,0.562542238480215,0.0600582216777693
1118,250,21.7221428755996,9,0.695627260132099,0.0488455326345386
1157,66,4.60281921067556,9,0.271639309651137,0.083965341417386
1208,352,16.3183716259365,9,0.585204259766965,0.0524155796929938
1266,273,26.4883547614494,9,0.740901546498284,0.0282661043023446
1289,117,5.42322823447971,9,0.489510700042538,0.0453102497992512
1362,195,10.433709561377,9,0.563830476722741,0.0554845738291333
1389,357,16.5514606931696,9,0.578977911291592,0.0395870652903422
1396,336,26.2784654301957,9,0.709533994836908,0.0341472649540664
1402,249,11.5413316626697,9,0.517688014059165,0.0904403219809181
1413,279,12.933904181422,9,0.462848867754685,0.0846910599643476
1499,260,33.8020295489244,9,0.817310136688802,0.0323864235429239
1523,174,11.0298465575781,9,0.613421386878393,0.044115509849818
1729,312,14.4647915392253,9,0.424734220048288,0.0938189839671409
1737,387,17.942830552382,9,0.604712525959655,0.0430410917996693
1779,210,9.73351376627726,9,0.409126328650986,0.0897850995374655
1876,301,13.9535091739485,9,0.48277921706169,0.102996550367767
1926,96,7.23459912257801,9,0.584023222774439,0.0560259610595293
1946,188,18.1389695866795,9,0.700903189190127,0.0497114916255681
2147,154,13.5600423196308,9,0.475354402379554,0.114358074693559
2219,137,17.1527793922555,9,0.706034159296609,0.062247645031213
2223,270,17.3535341198305,9,0.602057404969055,0.0690202696787784
2396,36,1.66859806119409,9,0.393272442971744,0.0647581790727513
2420,362,18.693413133567,9,0.452338910259128,0.119118444560242
2445,129,22.0842531949172,9,0.76044419981745,0.0474538483621796
2457,448,24.9021079475736,9,0.654029900214418,0.0399363228957422
