"locus","K","lambda_min","n_cells","slope","intercept"
34,274,35.2092138429173,9,0.83213115984894,0.051673738448217
37,241,80.9322792883425,9,0.985279594727272,0.00215094782162569
42,192,24.9308829089586,9,0.7738387457926,0.066695396518753
77,227,35.7200457144177,9,0.854793128686551,0.0504827200481642
95,359,45.972009881686,9,0.856357951191786,0.0435444070913867
99,295,38.1140831977769,9,0.847357010991894,0.0447022095174395
111,184,32.4137374488916,9,0.856043016835122,0.0462839130824435
118,224,28.7908931591847,9,0.795493397699365,0.0615425996022319
123,290,67.8542207062328,9,0.95678577853126,0.013177289520002
137,317,74.7812379190746,9,0.97103883357972,0.00825935281830285
172,263,33.7000883138313,9,0.819395849113252,0.0459090924457984
186,460,59.5711551225353,9,0.899628373595217,0.0298383618315144
199,294,38.0754829665697,9,0.844340620301721,0.0425206989856805
228,283,82.932571662998,9,0.98365746865498,0.000544091086559173
275,451,93.9033643029867,9,0.980344966773103,0.00489759320088105
336,266,105.629085694098,9,1.00902444487215,-0.00483194326003859
345,302,47.2057984437443,9,0.897140352157856,0.0318016923581426
347,368,140.443989853453,9,1.01160693410485,-0.0069936995363723
362,181,50.4034057047579,9,0.951237100556431,0.0125021842614164
404,406,52.1247416320016,9,0.888802686166609,0.0320579850980414
423,368,47.6517878409438,9,0.864851265238743,0.0366261000457837
436,354,45.7977767378205,9,0.857792393846194,0.040187390683466
438,391,156.801546847842,9,1.01506340248032,-0.00331601859777338
482,393,179.563722193028,9,1.01519419214863,-0.00450599761438205
502,105,13.9527395221302,9,0.695149537175809,0.091837787044959
523,177,22.9160314972415,9,0.76601784864743,0.0778817134275489
527,200,25.8684522264861,9,0.783728234051321,0.0727130007655726
533,328,114.574241874235,9,1.0041793059037,-0.00512543093630276
603,676,113.110339543665,9,0.985873917411779,0.00270992266832037
626,162,35.2952298191189,9,0.871322650007258,0.0490257507847599
640,319,41.3338552171562,9,0.84612555108274,0.0449583921998812
652,407,52.3664412292314,9,0.877894135852749,0.0309822024989778
654,288,77.2021004910159,9,0.985108324102481,0.00409585995684307
657,218,31.7278673399632,9,0.839184313172731,0.0519102447719509
694,254,60.022208059846,9,0.952389369844588,0.0163951205124874
703,187,39.4431967258134,9,0.88976954558045,0.0381681461987572
719,166,21.5551853193483,9,0.750772879132588,0.0794736688714349
720,135,17.5037874857011,9,0.718114414481437,0.0947661386234793
731,299,54.6356761317918,9,0.919808263513958,0.0203829402871495
773,356,114.70528334567,9,1.00673017219869,-0.00319801735104434
807,303,66.9060760692793,9,0.958464350020098,0.020258527896852
838,270,76.2956618439472,9,0.986435880458192,0.00853886803477
852,379,147.516186972104,9,1.01151456945294,-0.00583386277530407
856,252,48.8354550320797,9,0.915182561937015,0.0265355830360961
859,155,35.8766793734214,9,0.876159629946325,0.0467647119925448
923,432,144.015313303858,9,1.00926618491226,-0.00315609664516059
951,90,122.962790590524,9,1.01245417123158,-0.00463580529600038
987,246,55.5933610493838,9,0.936860603293399,0.0196937851561421
997,140,58.6120120554078,9,0.969358574524861,0.0114883313469152
1003,312,62.7395046835029,9,0.946226521509648,0.0180199296748768
1033,171,22.1553812314881,9,0.766931479474386,0.073801936155974
1067,530,88.4465852482688,9,0.963964280228676,0.0120859622233605
1077,133,17.3108879646152,9,0.711299173580763,0.095350615516753
1081,209,64.0482185293724,9,0.969333667221028,0.00974255873050781
1087,516,101.735461950339,9,0.989612756911848,0.00194365936127353
